time_s,distance_m,body_angle_deg,wheel_angle_deg,head_pitch_target_deg
0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.01329940890019679,3.0,15.874999999999998,0.0
0.06666666666666667,0.02659881780039358,6.0,31.749999999999996,0.0
0.1,0.03989822670059037,9.0,47.62499999999999,0.0
0.13333333333333333,0.05319763560078716,12.0,63.49999999999999,0.0
0.16666666666666666,0.06649704450098395,14.999999999999998,79.375,0.0
0.2,0.07979645340118074,18.0,95.24999999999999,0.0
0.23333333333333334,0.09309586230137754,21.0,111.125,0.0
0.26666666666666666,0.10639527120157433,24.0,126.99999999999999,0.0
0.3,0.11969468010177112,27.0,142.875,0.0
0.3333333333333333,0.1329940890019679,29.999999999999996,158.75,0.0
0.36666666666666664,0.14629349790216467,32.99999999999999,174.62499999999994,0.0
0.4,0.1595929068023615,36.0,190.49999999999997,0.0
0.43333333333333335,0.1728923157025583,39.00000000000001,206.37500000000003,0.0
0.4666666666666667,0.18619172460275507,42.0,222.25,0.0
0.5,0.19949113350295186,45.0,238.12499999999997,0.0
0.5333333333333333,0.21279054240314865,48.0,253.99999999999997,0.0
0.5666666666666667,0.22608995130334542,50.99999999999999,269.875,0.0
0.6,0.23938936020354223,54.0,285.75,0.0
0.6333333333333333,0.252688769103739,57.0,301.62499999999994,0.0
0.6666666666666666,0.2659881780039358,59.99999999999999,317.5,0.0
0.7,0.27928758690413263,63.0,333.375,0.0
0.7333333333333333,0.29258699580432934,65.99999999999999,349.2499999999999,0.0
0.7666666666666667,0.3058864047045262,69.00000000000001,365.125,0.0
0.8,0.319185813604723,72.0,380.99999999999994,0.0
0.8333333333333334,0.3324852225049198,75.0,396.875,0.0
0.8666666666666667,0.3457846314051166,78.00000000000001,412.75000000000006,0.0
0.9,0.3590840403053134,81.0,428.62500000000006,0.0
0.9333333333333333,0.37238344920551014,84.0,444.5,0.0
0.9666666666666667,0.3856828581057069,87.0,460.37499999999994,0.0
1.0,0.3989822670059037,90.0,476.24999999999994,0.0
1.0333333333333334,0.41228167590610054,93.0,492.12500000000006,0.0
1.0666666666666667,0.4255810848062973,96.0,507.99999999999994,0.0
1.1,0.4388804937064942,99.00000000000001,523.8750000000001,0.0
1.1333333333333333,0.45217990260669083,101.99999999999999,539.75,0.0
1.1666666666666667,0.4654793115068877,105.00000000000001,555.625,0.0
1.2,0.47877872040708447,108.0,571.5,0.0
1.2333333333333334,0.4920781293072813,111.0,587.375,0.0
1.2666666666666666,0.505377538207478,114.0,603.2499999999999,0.0
1.3,0.5186769471076749,117.0,619.125,0.0
1.3333333333333333,0.5319763560078716,119.99999999999999,635.0,0.0
1.3666666666666667,0.5452757649080685,123.00000000000001,650.8750000000001,0.0
1.4,0.5585751738082653,126.0,666.75,0.0
1.4333333333333333,0.571874582708462,129.0,682.625,0.0
1.4666666666666666,0.5851739916086587,131.99999999999997,698.4999999999998,0.0
1.5,0.5984734005088556,135.0,714.3749999999999,0.0
1.5333333333333334,0.6117728094090524,138.00000000000003,730.25,0.0
1.5666666666666667,0.6250722183092492,141.0,746.125,0.0
1.6,0.638371627209446,144.0,761.9999999999999,0.0
1.6333333333333333,0.6516710361096427,147.0,777.8749999999999,0.0
1.6666666666666667,0.6649704450098396,150.0,793.75,0.0
1.7,0.6782698539100364,153.0,809.625,0.0
1.7333333333333334,0.6915692628102332,156.00000000000003,825.5000000000001,0.0
1.7666666666666666,0.7048686717104299,158.99999999999997,841.375,0.0
1.8,0.7181680806106268,162.0,857.2500000000001,0.0
1.8333333333333333,0.7314674895108235,165.0,873.125,0.0
1.8666666666666667,0.7447668984110203,168.0,889.0,0.0
1.9,0.758066307311217,171.0,904.875,0.0
1.9333333333333333,0.7713657162114138,174.0,920.7499999999999,0.0
1.9666666666666666,0.7846651251116106,176.99999999999997,936.6249999999999,0.0
2.0,0.7979645340118074,180.0,952.4999999999999,0.0
2.033333333333333,0.8112639429120042,183.0,968.3749999999999,0.0
2.066666666666667,0.8245633518122011,186.0,984.2500000000001,0.0
2.1,0.8378627607123978,189.0,1000.1250000000001,0.0
2.1333333333333333,0.8511621696125946,192.0,1015.9999999999999,0.0
2.1666666666666665,0.8644615785127914,194.99999999999997,1031.875,0.0
2.2,0.8777609874129884,198.00000000000003,1047.7500000000002,0.0
2.2333333333333334,0.8910603963131851,201.00000000000003,1063.6250000000002,0.0
2.2666666666666666,0.9043598052133817,203.99999999999997,1079.5,0.0
2.3,0.9176592141135784,206.99999999999997,1095.3749999999998,0.0
2.3333333333333335,0.9309586230137754,210.00000000000003,1111.25,0.0
2.3666666666666667,0.9442580319139722,213.0,1127.125,0.0
2.4,0.9575574408141689,216.0,1143.0,0.0
2.433333333333333,0.9708568497143657,219.0,1158.875,0.0
2.466666666666667,0.9841562586145626,222.0,1174.75,0.0
2.5,0.9974556675147593,225.0,1190.625,0.0
2.533333333333333,1.010755076414956,228.0,1206.4999999999998,0.0
2.566666666666667,1.024054485315153,231.00000000000003,1222.375,0.0
2.6,1.0373538942153497,234.0,1238.25,0.0
2.6333333333333333,1.0506533031155465,237.00000000000003,1254.125,0.0
2.6666666666666665,1.0639527120157433,239.99999999999997,1270.0,0.0
2.7,1.07725212091594,243.0,1285.875,0.0
2.7333333333333334,1.090551529816137,246.00000000000003,1301.7500000000002,0.0
2.7666666666666666,1.1038509387163336,248.99999999999997,1317.6249999999998,0.0
2.8,1.1171503476165305,252.0,1333.5,0.0
2.8333333333333335,1.1304497565167273,255.00000000000003,1349.375,0.0
2.8666666666666667,1.143749165416924,258.0,1365.25,0.0
2.9,1.1570485743171208,261.0,1381.125,0.0
2.933333333333333,1.1703479832173174,263.99999999999994,1396.9999999999995,0.0
2.966666666666667,1.1836473921175146,267.00000000000006,1412.8750000000002,0.0
3.0,1.1969468010177111,270.0,1428.7499999999998,0.0
3.033333333333333,1.2102462099179079,272.99999999999994,1444.6249999999998,0.0
3.066666666666667,1.2235456188181049,276.00000000000006,1460.5,0.0
3.1,1.2368450277183016,279.0,1476.375,0.0
3.1333333333333333,1.2501444366184984,282.0,1492.25,0.0
3.1666666666666665,1.2634438455186952,285.0,1508.125,0.0
3.2,1.276743254418892,288.0,1523.9999999999998,0.0
3.2333333333333334,1.290042663319089,291.0,1539.8750000000002,0.0
3.2666666666666666,1.3033420722192854,294.0,1555.7499999999998,0.0
3.3,1.3166414811194822,297.0,1571.6249999999998,0.0
3.3333333333333335,1.3299408900196792,300.0,1587.5,0.0
3.3666666666666667,1.3432402989198757,303.0,1603.3749999999998,0.0
3.4,1.3565397078200727,306.0,1619.25,0.0
3.433333333333333,1.3698391167202693,308.99999999999994,1635.1249999999998,0.0
3.466666666666667,1.3831385256204665,312.00000000000006,1651.0000000000002,0.0
3.5,1.396437934520663,315.0,1666.875,0.0
3.533333333333333,1.4097373434208598,317.99999999999994,1682.75,0.0
3.566666666666667,1.4230367523210568,321.00000000000006,1698.6250000000002,0.0
3.6,1.4363361612212535,324.0,1714.5000000000002,0.0
3.6333333333333333,1.4496355701214503,327.0,1730.3750000000002,0.0
3.6666666666666665,1.462934979021647,330.0,1746.25,0.0
3.7,1.4762343879218438,333.0,1762.125,0.0
3.7333333333333334,1.4895337968220406,336.0,1778.0,0.0
3.7666666666666666,1.5028332057222373,339.0,1793.875,0.0
3.8,1.516132614622434,342.0,1809.75,0.0
3.8333333333333335,1.529432023522631,345.0,1825.6250000000002,0.0
3.8666666666666667,1.5427314324228276,348.0,1841.4999999999998,0.0
3.9,1.5560308413230246,351.0,1857.3750000000002,0.0
3.933333333333333,1.5693302502232211,353.99999999999994,1873.2499999999998,0.0
3.966666666666667,1.5826296591234184,357.00000000000006,1889.1250000000002,0.0
4.0,1.595929068023615,360.0,1904.9999999999998,0.0
